medicamento,componente,forma_farmaceutica,concentracao
"acetato de betametasona + fosfato dissódico de betametasona","Componente Básico","suspensão injetável","3 mg/mL + 3 mg/mL"
"acetato de hidrocortisona","Componente Básico","creme","10 mg/g (1%)"
"acetato de hidrocortisona","Componente Básico","suspensão injetável","50 mg/mL"
"acetato de hidrocortisona","Componente Básico","suspensão injetável","150 mg/mL"
"acetato de hidrocortisona","Componente Básico","comprimido","10 mg"
"acetato de medroxiprogesterona + cipionato de estradiol","Componente Básico","suspensão injetável","25 mg/0,5 mL + 5 mg/ 0,5 mL"
"acetato de sódio","Componente Básico","solução injetável","2 mEq/mL"
"acetazolamida","Componente Básico","comprimido","250 mg"
"acetazolamida","Componente Básico","comprimido","200 mg"
"acetazolamida","Componente Básico","creme","50 mg/g (5%)"
"acetazolamida","Componente Básico","pó para solução injetável","250 mg"
"acetazolamida","Componente Básico","comprimido","100 mg"
"acetazolamida","Componente Básico","comprimido","500 mg"
"acetazolamida","Componente Básico","comprimido","5 mg"
"acetazolamida","Componente Básico","solução oral","0,2 mg/mL"
"ácido folínico","Componente Básico","comprimido","15 mg"
"ácido salicílico (FN)","Componente Básico","pomada","50 mg/g (5%)"
"ácido salicílico (FN)","Componente Básico","cápsula","250 mg"
"ácido salicílico (FN)","Componente Básico","comprimido","250 mg"
"ácido salicílico (FN)","Componente Básico","comprimido","300 mg"
"ácido salicílico (FN)","Componente Básico","comprimido","500 mg"
"ácido salicílico (FN)","Componente Básico","solução oral","50 mg/mL"
"ácido salicílico (FN)","Componente Básico","xarope","50 mg/mL"
"ácido salicílico (FN)","Componente Básico","suspensão oral","40 mg/mL"
"ácido salicílico (FN)","Componente Básico","comprimido mastigável","400 mg"
"ácido salicílico (FN)","Componente Básico","cápsula","24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)"
"ácido salicílico (FN)","Componente Básico","comprimido","24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)"
"ácido salicílico (FN)","Componente Básico","solução oral","24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)"
"ácido salicílico (FN)","Componente Básico","","24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)"
"azitromicina","Componente Básico","pomada","10 mg/g (1%)"
"azitromicina","Componente Básico","comprimido","10 mg"
"azitromicina","Componente Básico","comprimido","70 mg"
"azitromicina","Componente Básico","solução injetável","150 mg/mL + 10 mg/mL"
"azitromicina","Componente Básico","comprimido","100 mg"
"azitromicina","Componente Básico","comprimido","300 mg"
"azitromicina","Componente Básico","suspensão oral","50 mg/mL"
"azitromicina","Componente Básico","cápsula","500 mg"
"azitromicina","Componente Básico","comprimido","500 mg"
"azitromicina","Componente Básico","suspensão oral","50 mg/mL + 12,5 mg/mL"
"azitromicina","Componente Básico","comprimido","500 mg + 125 mg"
"azitromicina","Componente Básico","gel vaginal","1,932 mg de ácido gálico (dose diária)"
"azitromicina","Componente Básico","óvulo vaginal","1,932 mg de ácido gálico (dose diária)"
"azitromicina","Componente Básico","comprimido","50 mg"
"azitromicina","Componente Básico","comprimido","100 mg"
"azitromicina","Componente Básico","comprimido","500 mg"
"azitromicina","Componente Básico","pó para suspensão oral continua","40 mg/mL"
"benzilpenicilina potássica","Componente Básico","pó para solução injetável","5.000.000 UI"
"benzilpenicilina procaína + benzilpenicilina potássica","Componente Básico","pó para suspensão injetável","300.000 UI + 100.000 UI"
"benzoilmetronidazol","Componente Básico","suspensão oral","40 mg/mL"
"benzoilmetronidazol","Componente Básico","comprimido","5 mg"
"benzoilmetronidazol","Componente Básico","comprimido","10 mg"
"benzoilmetronidazol","Componente Básico","solução injetável","84 mg/mL (8,4%) equivalente a 1 mEq/mL"
"benzoilmetronidazol","Componente Básico","solução para inalação","0,25 mg/mL"
"benzoilmetronidazol","Componente Básico","solução aerossol","20 mcg/dose"
"benzoilmetronidazol","Componente Básico","suspensão para inalação nasal","32 mcg"
"benzoilmetronidazol","Componente Básico","suspensão para inalação nasal","50 mcg"
"benzoilmetronidazol","Componente Básico","suspensão para inalação nasal","64 mcg"
"carbonato de lítio","Componente Básico","comprimido","300 mg"
"carvão vegetal ativado","Componente Básico","",""
"carvão vegetal ativado","Componente Básico","pó para suspensão oral",""
"carvão vegetal ativado","Componente Básico","comprimido","3,125 mg"
"carvão vegetal ativado","Componente Básico","comprimido","6,25 mg"
"carvão vegetal ativado","Componente Básico","comprimido","12,5 mg"
"carvão vegetal ativado","Componente Básico","comprimido","25 mg"
"tintura","Componente Básico","cápsula","500 mg"
"tintura","Componente Básico","comprimido","500 mg"
"tintura","Componente Básico","suspensão oral","50 mg/mL"
"tintura","Componente Básico","pó para solução injetável","500 mg"
"tintura","Componente Básico","pó para solução injetável","250 mg"
"tintura","Componente Básico","pó para solução injetável","500 mg"
"tintura","Componente Básico","pó para solução injetável","1g"
"cetoconazol","Componente Básico","","20 mg/mL (2%)"
"cianocobalamina","Componente Básico","solução injetável","500 mcg/mL"
"cianocobalamina","Componente Básico","comprimido","250 mg"
"cianocobalamina","Componente Básico","comprimido","500 mg"
"cianocobalamina","Componente Básico","grânulo para suspensão oral","50 mg/mL"
"cianocobalamina","Componente Básico","cápsula","500 mg"
"cianocobalamina","Componente Básico","comprimido","250 mg"
